Movie_id,Name,Year,Time,Genre,Rating,Score,Description,Directors_cast,Stars,Votes,Total
84,Titanic,1997,194.0,Drama  Romance,7.9,,A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious ill-fated R.M.S. Titanic.,James Cameron,"Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates","1,200,836",$659.33M
85,Ginny & Georgia,2021– ,,Comedy  Drama,7.5,,Ginny Miller an angsty fifteen-year-old often feels more mature than her thirty-year-old mother the irresistible and dynamic Georgia Miller.,,"Brianne Howey, Antonia Gentry, Diesel La Torraca, Felix Mallard","66,982",
86,Magic Mike's Last Dance,2023,112.0,Comedy  Drama,5.4,52.0,Mike takes to the stage again following a business deal that went bust leaving him broke and taking bartender gigs in Florida. Mike heads to London with a wealthy socialite who lures him with an offer he cant refuse.,Steven Soderbergh,"Jemelia George, Channing Tatum, Daniel Llaca, Erin Cline","5,009",
87,House of the Dragon,2022– ,,Action  Adventure  Drama,8.5,,An internal succession war within House Targaryen at the height of its power 172 years before the birth of Daenerys Targaryen.,,"Rhys Ifans, Matt Smith, Fabien Frankel, Graham McTavish","314,243",
88,Severance,2022– ,55.0,Drama  Mystery  Sci-Fi,8.7,,Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives. When a mysterious colleague appears outside of work it begins a journey to discover the truth about their jobs.,,"Adam Scott, Zach Cherry, Britt Lower, Tramell Tillman","140,166",
89,Peaky Blinders,2013–2022,60.0,Crime  Drama,8.8,,A gangster family epic set in 1900s England centering on a gang who sew razor blades in the peaks of their caps and their fierce boss Tommy Shelby.,,"Cillian Murphy, Paul Anderson, Sophie Rundle, Helen McCrory","567,129",
90,The Blacklist,2013–2023,43.0,Crime  Drama  Mystery,8.0,,A new FBI profiler Elizabeth Keen has her entire life uprooted when a mysterious criminal Raymond Reddington who has eluded capture for decades turns himself in and insists on speaking only to her.,,"James Spader, Megan Boone, Diego Klattenhoff, Ryan Eggold","254,850",
91,New Amsterdam,2018–2023,43.0,Drama,8.0,,A new medical director breaks the rules to heal the system at Americas oldest public hospital.,,"Ryan Eggold, Janet Montgomery, Jocko Sims, Tyler Labine","43,340",
92,Friends,1994–2004,22.0,Comedy  Romance,8.9,,Follows the personal and professional lives of six twenty to thirty year-old friends living in the Manhattan borough of New York City.,,"Jennifer Aniston, Courteney Cox, Lisa Kudrow, Matt LeBlanc","1,012,307",
93,Anne Rice's Mayfair Witches,2023– ,60.0,Drama  Fantasy  Horror,6.3,,Follows a neurosurgeon who discovers she is the unlikely heir to a family of witches. She must contend with a sinister presence that has haunted her family for generations.,,"Alexandra Daddario, Tongayi Chirisa, Jack Huston, Harry Hamlin","6,375",
94,Ant-Man,2015,117.0,Action  Comedy  Sci-Fi,7.3,,Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength cat burglar Scott Lang must embrace his inner hero and help his mentor Dr. Hank Pym pull off a plan that will save the world.,Peyton Reed,"Paul Rudd, Michael Douglas, Corey Stoll, Evangeline Lilly","681,155",$180.20M
95,True Detective,2014–2019,55.0,Crime  Drama  Mystery,8.9,,Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved both within and outside the law.,,"Vince Vaughn, Colin Farrell, Rachel McAdams, Taylor Kitsch","583,163",
96,Attack on Titan,2013–2023,24.0,Animation  Action  Adventure,9.0,,After his hometown is destroyed and his mother is killed young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.,,"Josh Grelle, Bryce Papenbrook, Yûki Kaji, Yui Ishikawa","389,426",
97,X, 2022,105.0,Horror  Mystery  Thriller,6.6,,In 1979 a group of young filmmakers set out to make an adult film in rural Texas but when their reclusive elderly hosts catch them in the act the cast find themselves fighting for their lives.,Ti West,"Mia Goth, Jenna Ortega, Brittany Snow, Kid Cudi","116,779",
98,Scream VI,2023,123.0,Horror  Mystery  Thriller,,,In the next installment the survivors of the Ghostface killings leave Woodsboro behind and start a fresh chapter in New York City.,"Matt Bettinelli-Olpin, Tyler Gillett","Melissa Barrera, Courteney Cox, Jenna Ortega, Jasmin Savoy Brown",,
99,Shehzada,2023,142.0,Action  Comedy  Drama,5.3,,Bantu is hated by his father Valmiki since he was a toddler. Samara his boss shows him affection and love until he discovers that the Jindals are his parents. Bantu decides to seek Jindals love and protect them from threats they facing.,Rohit Dhawan,"Kartik Aaryan, Kriti Sanon, Paresh Rawal, Manisha Koirala","26,897",
100,The Big Bang Theory,2007–2019,22.0,Comedy  Romance,8.2,,A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.,,"Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg","820,145",
