,MovieTitle,MovieDate,MovieRunTime,MovieGenre,MovieRating,MovieScore,MovieDescription,MovieDirector,MovieStars,MovieVotes,MovieGross
367,Dear Edward,2023– ,50,['Drama'],7.4,,"A 12-year-old boy becomes the lone survivor of a plane crash. As he and others affected by the tragedy try to make sense of what happened, unexpected friendships, romances, and communities are formed.",,"['Stars:Taylor Schilling', ""Colin O'Brien"", 'Carter Hudson', 'Amy Forsyth']","1,344",
368,Gunsmoke,1955–1975,60,['Western'],8.1,,Marshal Matt Dillon keeps the peace in rough-and-tumble Dodge City.,,"['Stars:James Arness', 'Milburn Stone', 'Amanda Blake', 'Ken Curtis']","7,715",
369,Scream,1996,111,"['Horror', ' Mystery']",7.4,,"A year after the murder of her mother, a teenage girl is terrorized by a new killer, who targets the girl and her friends by using horror films as part of a deadly game.",Wes Craven,"['Neve Campbell', 'Courteney Cox', 'David Arquette', 'Skeet Ulrich']","351,629",$103.05M
370,R.I.P.D.,2013,96,"['Action', ' Adventure', ' Comedy']",5.6,,"A cop killed by his own partner joins RIPD, an afterlife law enforcement department working to apprehend various monsters disguised as humans living on earth, and gets paired up with a smart-mouthed veteran.",Robert Schwentke,"['Ryan Reynolds', 'Jeff Bridges', 'Mary-Louise Parker', 'Kevin Bacon']","137,297",$33.62M
371,Orange Is the New Black,2013–2019,59,"['Comedy', ' Crime', ' Drama']",8.1,,"Convicted of a decade old crime of transporting drug money to an ex-girlfriend, normally law-abiding Piper Chapman is sentenced to a year and a half behind bars to face the reality of how life-changing prison can really be.",,"['Stars:Taylor Schilling', 'Danielle Brooks', 'Taryn Manning', 'Emma Myles']","306,843",
372,Animal Control,2023– ,22,['Comedy'],5.8,,A group of Animal Control workers begin to see their lives complicated by humans and not so much by animals.,,"['Stars:Joel McHale', 'Vella Lovell', 'Michael Rowland', 'Ravi Patel']",837,
373,Willow,2022– ,,"['Action', ' Adventure', ' Drama']",5.6,,"20 years after vanquishing the wicked queen Bavmorda, the sorcerer Willow Ufgood leads a group of misfits on a dangerous rescue mission into the unknown.",,"['Stars:Ruby Cruz', 'Ellie Bamber', 'Tony Revolori', 'Erin Kellyman']","29,271",
374,Arrow,2012–2020,42,"['Action', ' Adventure', ' Crime']",7.5,,"Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.",,"['Stars:Stephen Amell', 'Katie Cassidy', 'David Ramsey', 'Susanna Thompson']","435,125",
375,Halo,2022– ,60,"['Action', ' Adventure', ' Sci-Fi']",7.1,,Aliens threaten human existence in an epic 26th-century showdown.,,"['Stars:Pablo Schreiber', 'Shabana Azmi', 'Natasha Culzac', 'Olive Gray']","64,756",
376,Indiana Jones and the Dial of Destiny,2023,,"['Action', ' Adventure']",,,The plot is unknown at this time.,James Mangold,"['Harrison Ford', 'Boyd Holbrook', 'Mads Mikkelsen', 'Phoebe Waller-Bridge']",,
377,Inglourious Basterds,2009,153,"['Adventure', ' Drama', ' War']",8.3,,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",Quentin Tarantino,"['Brad Pitt', 'Diane Kruger', 'Eli Roth', 'Mélanie Laurent']","1,470,205",$120.54M
378,Money Heist,2017–2021,70,"['Action', ' Crime', ' Drama']",8.2,,An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.,,"['Stars:Úrsula Corberó', 'Álvaro Morte', 'Itziar Ituño', 'Pedro Alonso']","488,039",
379,Once Upon a Time,2011–2018,60,"['Adventure', ' Fantasy', ' Romance']",7.7,,A young woman with a troubled past is drawn to a small town in Maine where fairy tales are to be believed.,,"['Stars:Ginnifer Goodwin', 'Jennifer Morrison', 'Lana Parrilla', 'Robert Carlyle']","227,724",
380,The Gray Man,2022,122,"['Action', ' Thriller']",6.5,49,"When the CIA's most skilled operative, whose true identity is known to none, accidentally uncovers dark agency secrets, a psychopathic former colleague puts a bounty on his head, setting off a global manhunt by international assassins.","Directors:Anthony Russo, Joe Russo","['Ryan Gosling', 'Chris Evans', 'Ana de Armas', 'Billy Bob Thornton']","209,297",
381,SEAL Team,2017– ,43,"['Action', ' Drama', ' War']",7.8,,"The lives of the elite Navy SEALs as they train, plan, and execute the most dangerous, high-stakes missions the United States of America can ask.",,"['Stars:David Boreanaz', 'Neil Brown Jr.', 'A.J. Buckley', 'Toni Trucks']","28,173",
382,The West Wing,1999–2006,44,['Drama'],8.9,,Inside the lives of staffers in the West Wing of the White House.,,"['Stars:Martin Sheen', 'Rob Lowe', 'Allison Janney', 'John Spencer']","79,082",
383,Barry,2018– ,30,"['Action', ' Comedy', ' Crime']",8.4,,A hit man from the Midwest moves to Los Angeles and gets caught up in the city's theatre arts scene.,,"['Stars:Bill Hader', 'Stephen Root', 'Sarah Goldberg', 'Anthony Carrigan']","86,858",
384,The Expendables 4,2023,,"['Action', ' Adventure', ' Thriller']",,,The Expendables will square up against: an arms dealer who commands the might of a massive private army.,Scott Waugh,"['Jason Statham', '50 Cent', 'Megan Fox', 'Dolph Lundgren']",,
385,Good Will Hunting,1997,126,"['Drama', ' Romance']",8.3,,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",Gus Van Sant,"['Robin Williams', 'Matt Damon', 'Ben Affleck', 'Stellan Skarsgård']","987,249",$138.43M
386,Call Me Chihiro,2023,131,['Drama'],6.8,,"Chihiro works at a small beachside bento shop, Nokonoko Bento, and becomes a popular figure in the city.",Rikiya Imaizumi,"['Kasumi Arimura', 'Hana Toyoshima', 'Tetta Shimada', 'Van']","1,032",
387,Blade Runner 2049,2017,164,"['Action', ' Drama', ' Mystery']",8.0,,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",Denis Villeneuve,"['Harrison Ford', 'Ryan Gosling', 'Ana de Armas', 'Dave Bautista']","589,446",$92.05M
388,Pathaan,2023,146,"['Action', ' Adventure', ' Drama']",6.4,47,An Indian spy takes on the leader of a group of mercenaries who have nefarious plans to target his homeland.,Siddharth Anand,"['Shah Rukh Khan', 'Deepika Padukone', 'John Abraham', 'Dimple Kapadia']","124,154",
389,Forrest Gump,1994,142,"['Drama', ' Romance']",8.8,,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",Robert Zemeckis,"['Tom Hanks', 'Robin Wright', 'Gary Sinise', 'Sally Field']","2,106,280",$330.25M
390,Tusk,I) (2014,102,"['Comedy', ' Horror']",5.3,55,A brash and arrogant podcaster gets more than he bargained for when he travels to Canada to interview a mysterious recluse... who has a rather disturbing fondness for walruses.,Kevin Smith,"['Justin Long', 'Michael Parks', 'Haley Joel Osment', 'Genesis Rodriguez']","57,131",$1.82M
391,Grease,1978,110,"['Comedy', ' Musical', ' Romance']",7.2,,"Good girl Sandy Olsson and greaser Danny Zuko fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?",Randal Kleiser,"['John Travolta', 'Olivia Newton-John', 'Stockard Channing', 'Jeff Conaway']","283,252",$188.76M
392,The Departed,2006,151,"['Crime', ' Drama', ' Thriller']",8.5,,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,Martin Scorsese,"['Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson', 'Mark Wahlberg']","1,339,729",$132.38M
393,The Diplomat,2023– ,50,"['Drama', ' Thriller']",6.6,,The six-part series follows Laura Simmonds and her Barcelona Consul colleague and friend Alba Ortiz as they fight to protect British nationals who find themselves in trouble in the Catalan city.,,"['Stars:Steven Cree', 'Philipp Boos', 'Ladi Emeruwa', 'Laia Costa']",145,
394,Black Panther,2018,134,"['Action', ' Adventure', ' Sci-Fi']",7.3,,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",Ryan Coogler,"['Chadwick Boseman', 'Michael B. Jordan', ""Lupita Nyong'o"", 'Danai Gurira']","791,355",$700.06M
395,The Leftovers,2014–2017,60,"['Drama', ' Fantasy', ' Mystery']",8.3,,"Three years after the disappearance of 2% of the global human population, a group of people in a small New York community try to continue their lives while coping with the tragedy of the unexplained nature of the event.",,"['Stars:Justin Theroux', 'Amy Brenneman', 'Christopher Eccleston', 'Liv Tyler']","102,019",
396,Dune: Part Two,2023,,"['Action', ' Adventure', ' Drama']",,,"A boy becomes the Messiah of nomads on a desert planet that has giant worms that protect a commodity called Spice. Spice changes people into travelers, mystics and madmen. What price will he pay to become the new ruler of their universe?",Denis Villeneuve,"['Timothée Chalamet', 'Rebecca Ferguson', 'Zendaya', 'Javier Bardem']",,
397,Perry Mason,1957–1966,60,"['Crime', ' Drama', ' Mystery']",8.3,,"The cases of a master criminal defense attorney, handling the most difficult of cases in the aid of the innocent.",,"['Stars:Raymond Burr', 'Barbara Hale', 'William Hopper', 'Ray Collins']","10,110",
398,Teen Wolf: The Movie,2023,140,"['Action', ' Drama', ' Fantasy']",5.6,51,"A terrifying evil has emerged. The wolves howl once again, but only a Werewolf like Scott McCall, can gather both new allies and reunite trusted friends to fight back against what could be the most powerful and deadliest enemy.",Russell Mulcahy,"['Tyler Posey', 'Crystal Reed', 'Holland Roden', 'Tyler Hoechlin']","10,196",
399,The Mummy,1999,124,"['Action', ' Adventure', ' Fantasy']",7.1,48,"At an archaeological dig in the ancient city of Hamunaptra, an American serving in the French Foreign Legion accidentally awakens a mummy who begins to wreak havoc as he searches for the reincarnation of his long-lost love.",Stephen Sommers,"['Brendan Fraser', 'Rachel Weisz', 'John Hannah', 'Arnold Vosloo']","438,235",$155.25M
